mission,rank,source,official_loss,predicted_ld,predicted_mass_kg,predicted_payload_m3,predicted_fuel_m3,predicted_stress_mpa,stress_uncertainty_mpa,stress_ucb_mpa,conservative_feasible,in_bounds,discrete_valid,surrogate_only_validation,C2/C1,C3/C1,C4/C1,B1/C1,B2/C1,B3/C1,X3/C1,S1,S3,C1,Skin Thickness,Front Spar Chord %,Rear Spar Chord %,Spar Thickness,# of Ribs,Rib Thickness,Wingbox Cutout,# of Fuselage Ribs,# of Fuselage Spars,Fuselage Struct Thickness,Fuselage Struct Width
High Speed Dash,1,hybrid_pool,0.00026963373731906694,9.000001125763125,90.99143111699462,0.44698182417061644,0.15152454200675472,204.57283725345792,2.6328739046370213,209.83858506273197,True,True,True,True,0.8383620351,0.1923257552,0.0880856252,0.1713973196,0.0936626092,0.392277809,0.581628527,51.4895074257,24.6307753748,2612.3425345576,0.0014800504,0.2261777772,0.719271995,0.0030727489,11.0,0.0017816163,0.0144257873,11.0,5.0,0.009438412,0.0023384172
High Speed Dash,2,hybrid_pool,0.020349431129161377,10.233205522857682,93.01544286589278,0.45649305837232623,0.1476598207410678,87.85393716524291,2.156280963907468,92.16649909305785,True,True,True,True,0.55,0.1871341555,0.09,0.1887664725,0.1027100909,0.4580013439,0.65,47.6348805003,40.0,2742.9805201934,0.0012154723,0.2050346517,0.587656826,0.0031644579,5.0,0.0040176464,0.0211309043,11.0,3.0,0.002638321,0.0015539535
High Speed Dash,3,hybrid_pool,0.02035542807761071,9.168996838804274,82.57205839433801,0.4181678015524945,0.13642744768753212,190.33644339293568,2.390313770691825,195.11707093431932,True,True,True,True,0.8351868812,0.1851106425,0.0867050704,0.1605979273,0.0823543882,0.3897840035,0.5941171401,52.2207878431,23.1429166175,2670.5013516352,0.0012421792,0.237961907,0.7073914688,0.0029373597,12.0,0.0017235837,0.017676758,11.0,5.0,0.0093867843,0.0013388026
High Speed Dash,4,hybrid_pool,0.0398719486381215,10.605408576080608,96.63751854029827,0.46427114673936676,0.15601522069660761,77.68158020301502,2.039380680927232,81.76034156486948,True,True,True,True,0.5702035884,0.2403258572,0.0600401328,0.122533604,0.0899597229,0.5104193022,0.6491984716,59.0522143488,26.8815590315,3010.6483691503,0.0013860589,0.3333286185,0.5699243393,0.0026717916,4.0,0.0031745233,0.0207204126,11.0,4.0,0.0049579548,0.0013927508
High Speed Dash,5,hybrid_pool,0.04759873062954296,10.762097985140812,98.04462041057185,0.44776685468181326,0.1446939782361892,73.87817506526173,1.9732961865429333,77.82476743834759,True,True,True,True,0.5780546924,0.1903409217,0.0897475324,0.1942552608,0.1054840117,0.486765985,0.6429108294,45.6404557956,38.5972193925,2680.717855291,0.0012235181,0.1896798726,0.5753783212,0.0033693983,6.0,0.0038951497,0.018018457,11.0,3.0,0.0031711854,0.0025532713
High Speed Dash,6,hybrid_pool,0.07252799920707105,11.313630099108737,97.22095154708443,0.44904460946094327,0.14983570065886126,74.41170904082908,2.0565657983493653,78.52484063752782,True,True,True,True,0.5997611161,0.2427702702,0.0609825418,0.1329736368,0.0789687191,0.5044619681,0.6316903977,58.6895841417,24.9655049033,2839.9584615014,0.001797469,0.3258871409,0.5659762946,0.0022286336,4.0,0.003779474,0.0203239866,11.0,3.0,0.0049465476,0.0017641337
High Speed Dash,7,hybrid_pool,0.07613055945409807,11.176004866082359,87.95711841080897,0.40640503062651856,0.16322493378289837,206.13335367966164,1.882727364053159,209.89880840776794,True,True,True,True,0.5708490284,0.2798439658,0.0860944788,0.100744287,0.1984649847,0.558438394,0.5103457888,47.6504650816,37.4244351826,2829.2353204081,0.0009280097,0.290948342,0.6657367632,0.0018398085,10.0,0.0025274724,0.0139341199,11.0,4.0,0.005959408,0.0017694386
High Speed Dash,8,hybrid_pool,0.08460827257774034,9.8684055843917,108.2862381856702,0.36735031690081515,0.15252150216501187,177.67664697338867,2.050830447560597,181.77830786850987,True,True,True,True,0.8242976991,0.1923931577,0.0897955973,0.1554463025,0.125233255,0.3812838002,0.5583177373,53.9871183969,28.3288651146,2531.7350002006,0.0012837466,0.2127323824,0.7437598404,0.002638718,12.0,0.0021534332,0.0209041655,11.0,6.0,0.004772573,0.0032643024
High Speed Dash,9,hybrid_pool,0.1231041844892583,10.67280412332827,68.08033458962852,0.46285725940809835,0.1247109798540912,245.05208402328768,2.247606598350813,249.5472972199893,True,True,True,True,0.6239401815,0.1954838546,0.0617637985,0.1241607137,0.0575928832,0.3840419053,0.5221514389,54.2198660411,37.5962279923,2808.7412901223,0.0009838981,0.2935017707,0.6699170347,0.0016104348,9.0,0.0019121738,0.0123360139,11.0,4.0,0.003849836,0.0020219382
High Speed Dash,10,hybrid_pool,0.16061028682024783,9.298262761008646,56.27486951573671,0.5030092602276545,0.1391649279846975,110.69821831034255,2.1130742153484112,114.92436674103938,True,True,True,True,0.8370168405,0.1816997887,0.0821891553,0.1981274193,0.0724982418,0.3699625959,0.5086397592,48.2444226928,29.1885555349,2537.4239389785,0.0006346368,0.3423694,0.5806853091,0.0013018422,7.0,0.0015,0.0121462265,11.0,3.0,0.0030762923,0.0017184171
Max Capacity,1,hybrid_pool,0.0005267706510652364,9.999999940820256,121.30746414728684,0.5884745748133688,0.2012501309371346,220.04140123175753,2.08241529957329,224.2062318309041,True,True,True,True,0.841836573,0.2015262476,0.0639564611,0.1762250536,0.0916732166,0.631720388,0.6241631858,48.2908664191,35.2147449465,3288.6670953478,0.0009111254,0.284483635,0.6614318803,0.0030557212,8.0,0.0033625042,0.0193746684,11.0,4.0,0.0044854546,0.0019262151
Max Capacity,2,hybrid_pool,0.0016302058204788095,9.999998911877702,124.46752056033311,0.6025682974704307,0.20300572499197617,101.7692767693874,2.2891067737904867,106.34749031696838,True,True,True,True,0.6635495415,0.191182525,0.083707584,0.1085373014,0.055958165,0.3590837626,0.504566047,45.4350553631,35.3660076703,3576.6117499862,0.0013008475,0.2149170245,0.56674033,0.0024975123,7.0,0.0016456223,0.0177860589,11.0,4.0,0.0044169151,0.0048066807
Max Capacity,3,hybrid_pool,0.00963507946940927,10.803623047313115,122.87445956966792,0.569703134364643,0.19853752157102578,92.45863940009477,2.0054973547413364,96.46963410957744,True,True,True,True,0.589557621,0.2795038183,0.0827077503,0.1931833121,0.1861487486,0.3553549163,0.6053594544,57.3895460253,36.9631529517,3241.4663338156,0.0017670588,0.2841006105,0.5902983946,0.0027166114,3.0,0.0018231602,0.0146909553,11.0,5.0,0.0064979236,0.0027971698
Max Capacity,4,hybrid_pool,0.019633701452730436,10.226082220920476,126.9592825513665,0.6659089833281961,0.21215337486125588,115.20457300281696,2.049402653975361,119.30337831076768,True,True,True,True,0.6842209165,0.183845103,0.0836335948,0.1197361365,0.0552584234,0.400709739,0.5096506394,46.5102828881,34.5662072882,3676.4837194745,0.0012207543,0.2275796952,0.5758807893,0.0018040709,7.0,0.0019935308,0.0198961764,11.0,3.0,0.0068112686,0.0051308929
Max Capacity,5,hybrid_pool,0.021620471935050734,9.999999147717165,125.57808146889575,0.5282373397178357,0.1856410474538574,178.9030103124633,3.0081131154529053,184.9192365433691,True,True,True,True,0.8032613884,0.1985023585,0.0768207354,0.1374016379,0.0927688234,0.3512687345,0.5496520241,47.7085547287,33.0997654336,3219.5276423933,0.0006115395,0.2767471842,0.6830787243,0.0046007448,5.0,0.0076649,0.0127838591,11.0,3.0,0.0080061215,0.002100923
Max Capacity,6,hybrid_pool,0.024956461502283405,11.283868522537288,109.61452595758932,0.5847862323955503,0.20368886401629868,116.10484933037415,2.1820564300310954,120.46896219043634,True,True,True,True,0.5592864542,0.2749803057,0.085623049,0.181344739,0.1754442363,0.377546275,0.5955546174,56.9214841844,36.2399167549,3183.3248424156,0.0019105096,0.2987870027,0.5940065829,0.0022111802,4.0,0.0020670477,0.0149294989,11.0,5.0,0.0042652028,0.0026512938
Max Capacity,7,hybrid_pool,0.03359819116148465,10.163119506140497,106.82834639569344,0.5522411672456358,0.17554745516207085,210.06630162845568,2.263426689825321,214.59315500810632,True,True,True,True,0.8449376603,0.2039706606,0.0622998794,0.1866650864,0.0806822129,0.6257630539,0.6071050954,48.8120137161,33.2986908183,3117.9771876989,0.0013225355,0.2783455182,0.6548905867,0.0026125631,7.0,0.0039674548,0.0189782424,11.0,3.0,0.0046118874,0.0019607989
Max Capacity,8,hybrid_pool,0.04105485270517287,10.47977871736778,138.71955996732387,0.5286905627292282,0.19657642856667726,116.9676599467322,1.8687068433005178,120.70507363333323,True,True,True,True,0.8406605328,0.1990452942,0.0620219778,0.1944041331,0.1184378097,0.6327446248,0.6030995345,45.910336934,31.5664004162,3139.343183022,0.0013270185,0.3069071859,0.6248760469,0.002783878,10.0,0.0029565163,0.0230633838,11.0,5.0,0.0054348286,0.0025597106
Max Capacity,9,hybrid_pool,0.09888324950183304,12.21558324621522,94.68828471014007,0.6269689661343184,0.18854060997280592,132.62680221751654,2.1801286019051753,136.9870594213269,True,True,True,True,0.6037411321,0.2005195928,0.0736746591,0.1869318155,0.1193895298,0.5410503181,0.5322785554,40.5989466235,38.1076657213,3159.2441834509,0.000960394,0.2606248616,0.5724302281,0.0016599733,9.0,0.0016732894,0.0157570364,11.0,3.0,0.0034528661,0.0016365167
Max Capacity,10,hybrid_pool,0.0991806691232175,12.101815441170402,143.10483126908605,0.5233355097671851,0.19198401051435923,160.71783480313522,2.635341256165723,165.98851731546665,True,True,True,True,0.7140092218,0.1885374461,0.0775900013,0.1365834031,0.1241947494,0.4459755133,0.6378186845,54.2700022459,27.9793765582,3181.6911534406,0.0009194991,0.2694236401,0.6592519825,0.00155,5.0,0.0141497269,0.015747631,11.0,5.0,0.0166822595,0.0014590745
Max Endurance,1,hybrid_pool,0.0008872296624477805,11.999826216969801,102.08520615271713,0.40811386199401223,0.1811519121753151,73.82066684791793,1.9089479447723858,77.6385627374627,True,True,True,True,0.6807135853,0.2066740556,0.089244796,0.1329235377,0.1935038312,0.458353519,0.5416897374,57.95837774,34.026460492,2765.0336186878,0.0010817915,0.2007206913,0.5817283364,0.0028762187,12.0,0.0025460926,0.0212357225,11.0,5.0,0.0054708999,0.0026513396
Max Endurance,2,hybrid_pool,0.0009039622948940735,11.999655301108485,100.89846925119022,0.3942277632277501,0.1755361640832781,163.37402202295547,1.7477226972585642,166.8694674174726,True,True,True,True,0.75560145,0.2530235917,0.0663152068,0.1091049618,0.1798211313,0.6497144796,0.5929674288,55.7395217537,23.7194585182,2870.0118852221,0.0017248329,0.2946165405,0.6889383703,0.0023473817,13.0,0.0029789126,0.0172409479,11.0,4.0,0.0045638897,0.0014274883
Max Endurance,3,hybrid_pool,0.002609608479235319,12.00001534921442,99.07288643740024,0.40982711241806596,0.1721126336166765,216.17018003358814,2.840591817889237,221.8513636693666,True,True,True,True,0.5739878154,0.2558540531,0.0888954556,0.1893521195,0.1856102731,0.4135374825,0.6085874552,41.5288996956,35.2038570712,2786.7740691475,0.00060298,0.2454005696,0.7145503458,0.00276683,13.0,0.0015422685,0.0137365618,11.0,7.0,0.0071506594,0.0023909486
Max Endurance,4,hybrid_pool,0.004563617921180018,11.729661163974868,103.22447328023357,0.4213052150208942,0.17758892350956407,85.28137022768928,2.208131539996534,89.69763330768235,True,True,True,True,0.6205310005,0.2058519578,0.0849564724,0.1550643607,0.1732351392,0.3987546748,0.50348712,42.2003065594,26.4465906525,2769.1041655032,0.0016899825,0.1865491752,0.5745151113,0.0021672255,4.0,0.002671115,0.0117681799,11.0,4.0,0.0023023932,0.0110724048
Max Endurance,5,hybrid_pool,0.004773641299157513,12.00640786252509,104.30296411623112,0.37958816093541536,0.1767912189076272,157.68488868849934,1.7737243634969908,161.23233741549333,True,True,True,True,0.7397500976,0.2537433649,0.0674835094,0.1261299243,0.1725538626,0.6457643439,0.5562655843,58.8800117187,22.2692121379,2702.0695847459,0.0015325534,0.2879347403,0.6916626593,0.0031676242,12.0,0.0028225687,0.0181625603,11.0,6.0,0.0046744876,0.0026229741
Max Endurance,6,hybrid_pool,0.013032157239468007,12.239075313066474,110.90806942409444,0.3936433447224282,0.17603962540967638,58.89948734736719,1.9155961511690227,62.73067964970524,True,True,True,True,0.70082297,0.2076446892,0.0896945701,0.13898928,0.1896394276,0.4871181601,0.5455113961,55.9336719608,33.6208992769,2702.7709537854,0.0010898372,0.1853659122,0.5694498316,0.0030811591,13.0,0.0027322477,0.0181232752,11.0,5.0,0.0046132933,0.0033162856
Max Endurance,7,hybrid_pool,0.023926292854649076,12.471112489116498,113.86786505574436,0.3849233938457809,0.17250763984351228,76.57175571785145,1.8682912445758075,80.30833820700306,True,True,True,True,0.5610327362,0.2650589771,0.0753716352,0.1206054908,0.1703080274,0.615314202,0.6262056539,53.9004530571,38.6619861424,2909.3651212752,0.001640691,0.2339255623,0.5992383456,0.0029759582,11.0,0.0023812985,0.0200781283,11.0,6.0,0.0045683537,0.0026056097
Max Endurance,8,hybrid_pool,0.026124528144278115,12.015473961606638,111.45323569564918,0.44349146338055095,0.17380820045303952,210.43250989447435,2.3288634982203074,215.09023689091495,True,True,True,True,0.5972165552,0.2478347443,0.0875993826,0.1991165009,0.1747192857,0.4549224536,0.6059832851,42.8445459094,34.4040566891,2886.6460386358,0.0006719304,0.2580632402,0.7210429286,0.0020733886,13.0,0.0019646411,0.0161446506,11.0,6.0,0.0095207808,0.0028317955
