mission,rank,source,official_loss,predicted_ld,predicted_mass_kg,predicted_payload_m3,predicted_fuel_m3,predicted_stress_mpa,stress_uncertainty_mpa,stress_ucb_mpa,conservative_feasible,in_bounds,discrete_valid,surrogate_only_validation,C2/C1,C3/C1,C4/C1,B1/C1,B2/C1,B3/C1,X3/C1,S1,S3,C1,Skin Thickness,Front Spar Chord %,Rear Spar Chord %,Spar Thickness,# of Ribs,Rib Thickness,Wingbox Cutout,# of Fuselage Ribs,# of Fuselage Spars,Fuselage Struct Thickness,Fuselage Struct Width
High Speed Dash,1,sklearn_hybrid,0.1452989001715641,11.425858208319271,108.03056886762037,0.39665547814789803,0.1296205882385423,48.16204397795288,48.87221461334562,143.95158462011028,True,True,True,True,0.7825861803,0.196024453,0.0820812026,0.1697265242,0.1043502016,0.4758518067,0.5770904872,44.622049428,32.6897493957,2754.0861723295,0.0015230638,0.2745577513,0.5948899872,0.0026278524,13.0,0.0037233383,0.0225049037,5.0,6.0,0.0051034603,0.0047732787
High Speed Dash,2,sklearn_hybrid,0.16738037290514424,12.16583270127123,96.31165633606209,0.36741393698455316,0.13934427209227715,56.937177720952114,78.7187202191525,211.22586935049102,True,True,True,True,0.6318533514,0.2479283159,0.0610902723,0.1532922169,0.1452923857,0.5599948917,0.6321049469,57.5886955705,32.5639702559,2782.6764369763,0.0019481798,0.337365167,0.578956483,0.0023362844,9.0,0.0018045216,0.0201921051,5.0,5.0,0.0061461723,0.0018519638
High Speed Dash,3,sklearn_hybrid,0.20664554681781078,12.365209707724055,85.16322348687086,0.3503698981329135,0.13167237993806688,67.36162313840116,62.44995579049336,189.76353648776814,True,True,True,True,0.6663109874,0.2359283159,0.0646902723,0.1426711684,0.1276367542,0.5179948917,0.6141049469,55.1886955705,30.1639702559,2790.4730618849,0.001533828,0.316965167,0.602956483,0.0028957707,10.0,0.0027314149,0.0193146929,5.0,5.0,0.005043537,0.0030743614
High Speed Dash,4,sklearn_hybrid,0.21259116575067527,12.116698898621046,86.40964608656932,0.33403604069894816,0.12644091325227977,64.54869962792137,64.55380535676619,191.0741581271831,True,True,True,True,0.8124966286,0.2032661981,0.081687827,0.1781216868,0.1202089534,0.5131286628,0.5833969311,42.5504052362,34.1834885925,2591.443284632,0.0017416247,0.2930550858,0.5993632811,0.0028055712,13.0,0.0027959287,0.0242053654,5.0,6.0,0.0042791852,0.004515124
High Speed Dash,5,sklearn_hybrid,0.2572218451918915,13.242483624002908,104.77454080169733,0.4582821492692508,0.16318663046625584,49.920585173678994,81.19506811513422,209.06291867934206,True,True,True,True,0.7196715361,0.2600457537,0.0893034259,0.1965501141,0.1253899671,0.4819768934,0.6440306194,59.3617464788,27.113880869,2796.4793634601,0.0014637545,0.2761659922,0.576201902,0.0030578907,11.0,0.0021769251,0.0229482796,7.0,6.0,0.0047738712,0.0034578933
High Speed Dash,6,sklearn_hybrid,0.8040357627210991,12.53368965513679,149.08572230041773,0.2755184015091527,0.11073177309551736,82.56874775829455,107.75457252697201,293.76770991115967,True,True,True,True,0.7823943809,0.2345415363,0.0727837284,0.1457263007,0.1021132399,0.6379340078,0.592051699,59.4582716309,33.0192472781,2619.2040946112,0.0003203351,0.3043631268,0.7056947679,0.0062280339,5.0,0.0130663459,0.0252847305,9.0,5.0,0.0091970411,0.004371194
High Speed Dash,7,sklearn_hybrid,0.04018385041547082,10.77050880272307,89.95917793522804,0.4457831877378494,0.14439590436322963,243.90838589197037,337.9295321298429,906.2502688664625,False,True,True,True,0.843048342,0.1807461017,0.0859418773,0.1530151293,0.0979508134,0.4832156489,0.5493474031,41.4971996285,35.4307159595,2856.4819451422,0.0013315825,0.2564595387,0.6565326005,0.0026250908,11.0,0.0023400026,0.0207079216,5.0,5.0,0.0052755689,0.0034530922
High Speed Dash,8,sklearn_hybrid,0.12899626822650676,9.855195269599482,119.06429962557054,0.39759812965674896,0.15690453240358904,363.21053280635226,750.2374651233098,1833.6759644480394,False,True,True,True,0.7671532213,0.2612619527,0.0829020496,0.1052896635,0.0757953144,0.4395307857,0.6476813471,40.2588325739,23.2449480332,3209.1324944049,0.0014937082,0.3291478117,0.6429299876,0.0029422889,11.0,0.0022742977,0.0188748479,7.0,5.0,0.0057067401,0.0035862285
High Speed Dash,9,sklearn_hybrid,0.18476416552994382,11.832987139058284,111.68654037499337,0.37746270327796505,0.14393651234396926,136.68390547687932,298.02079008385925,720.8046540412435,False,True,True,True,0.7775449604,0.1810915356,0.0677152732,0.1837176615,0.1542279192,0.3677064476,0.5480634656,56.8189803511,35.5748816021,2519.4717994891,0.0014414955,0.3189960282,0.5591155287,0.0025796518,4.0,0.0030817499,0.0177139679,7.0,12.0,0.0100541393,0.003660496
High Speed Dash,10,sklearn_hybrid,0.2701155480778396,11.567495277011231,125.88180976212456,0.48738190349211835,0.12731053845149792,81.68767596873933,149.55168652438843,374.80898155654063,False,True,True,True,0.5614224911,0.269692661,0.0627640328,0.1671137706,0.0894860623,0.537960959,0.5057473267,59.4464223646,21.7734458111,3118.7465866096,0.0016420414,0.1885697121,0.5727347219,0.0029243917,13.0,0.0029720015,0.0217842351,5.0,5.0,0.0051954715,0.0028453048
