variable,baseline_stress_margin_band,transition_count,stress_failure_rate,payload_decrease_rate,fuel_decrease_rate,supported
Skin Thickness,0–25 MPa,90,0.5777777777777777,0.4111111111111111,0.5,True
Skin Thickness,25–75 MPa,230,0.4391304347826087,0.3652173913043478,0.5043478260869565,True
Skin Thickness,>75 MPa,1707,0.11599297012302284,0.3579379027533685,0.46338605741066197,True
Spar Thickness,0–25 MPa,90,0.5777777777777777,0.4111111111111111,0.5,True
Spar Thickness,25–75 MPa,230,0.4391304347826087,0.3652173913043478,0.5043478260869565,True
Spar Thickness,>75 MPa,1707,0.11599297012302284,0.3579379027533685,0.46338605741066197,True
# of Ribs,0–25 MPa,67,0.6567164179104478,0.34328358208955223,0.43283582089552236,True
# of Ribs,25–75 MPa,165,0.48484848484848486,0.37575757575757573,0.49696969696969695,True
# of Ribs,>75 MPa,1165,0.1296137339055794,0.34334763948497854,0.44892703862660943,True
Rib Thickness,0–25 MPa,46,0.5869565217391305,0.43478260869565216,0.5217391304347826,False
Rib Thickness,25–75 MPa,135,0.4148148148148148,0.4148148148148148,0.5333333333333333,True
Rib Thickness,>75 MPa,937,0.12059765208110992,0.3489861259338314,0.45570971184631803,True
Wingbox Cutout,0–25 MPa,74,0.6081081081081081,0.5,0.5,True
Wingbox Cutout,25–75 MPa,163,0.44785276073619634,0.5153374233128835,0.5153374233128835,True
Wingbox Cutout,>75 MPa,1338,0.1218236173393124,0.45665171898355755,0.45665171898355755,True
# of Fuselage Ribs,0–25 MPa,22,0.5,0.5,0.6363636363636364,False
# of Fuselage Ribs,25–75 MPa,60,0.38333333333333336,0.35,0.5,True
# of Fuselage Ribs,>75 MPa,422,0.15165876777251186,0.34834123222748814,0.4312796208530806,True
# of Fuselage Spars,0–25 MPa,28,0.5,0.35714285714285715,0.6071428571428571,False
# of Fuselage Spars,25–75 MPa,50,0.42,0.46,0.5,True
# of Fuselage Spars,>75 MPa,521,0.12284069097888675,0.3896353166986564,0.46065259117082535,True
Fuselage Struct Thickness,0–25 MPa,90,0.5777777777777777,0.4111111111111111,0.5,True
Fuselage Struct Thickness,25–75 MPa,230,0.4391304347826087,0.3652173913043478,0.5043478260869565,True
Fuselage Struct Thickness,>75 MPa,1707,0.11599297012302284,0.3579379027533685,0.46338605741066197,True
Fuselage Struct Width,0–25 MPa,90,0.5777777777777777,0.4111111111111111,0.5,True
Fuselage Struct Width,25–75 MPa,230,0.4391304347826087,0.3652173913043478,0.5043478260869565,True
Fuselage Struct Width,>75 MPa,1707,0.11599297012302284,0.3579379027533685,0.46338605741066197,True
