variable,kind,documented_lower,documented_upper,observed_min,observed_q05,observed_q25,observed_median,observed_q75,observed_q95,observed_max,n_unique,response_evidence
C2/C1,continuous,0.55,0.85,0.5500307532027364,0.5651370625011624,0.6239401815459132,0.7016316388733685,0.7749996792525053,0.8353447598591447,0.8499637116678058,5671,distribution support only
C3/C1,continuous,0.18,0.28,0.180004627648741,0.1854683520458638,0.2062042147107422,0.2323742287419736,0.2561381865479052,0.27519761005416515,0.2799989253468812,5671,distribution support only
C4/C1,continuous,0.06,0.09,0.0600038407277315,0.06152481974288818,0.0675633618235588,0.0750207026023417,0.0824090086575597,0.0884892251249402,0.0899972346704453,5671,distribution support only
B1/C1,continuous,0.1,0.2,0.1000038309022784,0.10495726920664303,0.1247099948115647,0.1496945371851325,0.1746130078099668,0.1949034865945577,0.1999926558695733,5671,distribution support only
B2/C1,continuous,0.05,0.2,0.0500959428958594,0.0608071133960038,0.0921009819954633,0.1284367876127362,0.1646370479371399,0.19298168967477977,0.1999828134663403,5671,distribution support only
B3/C1,continuous,0.35,0.7,0.3500088114291429,0.36637175432406366,0.4314215373713523,0.5159921081271022,0.6024564281571656,0.6793900082353502,0.6999506283551454,5671,distribution support only
X3/C1,continuous,0.5,0.65,0.500023000780493,0.5075716889929026,0.5378760237712413,0.5754933286458254,0.6124401041772216,0.6423948575742543,0.6499778209254146,5671,distribution support only
S1,continuous,40.0,60.0,40.0021848641336,41.01438702270389,45.00093139708042,50.0105844438076,54.98158693313599,59.01770524680615,59.99921569600701,5671,distribution support only
S3,continuous,20.0,40.0,20.00471994280815,21.028854008764036,25.14298815280199,30.194020457565784,35.168241895735264,39.03225015103817,39.995278008282185,5671,distribution support only
C1,continuous,2500.0,4000.0,2500.319786369801,2571.457216516137,2867.459276691079,3237.4654128216207,3619.116187561304,3924.038098100573,3999.733452685177,5673,distribution support only
Skin Thickness,continuous,0.0003,0.005,0.0003003839256241,0.000644044851358,0.0007948190701659,0.0010013821197208,0.0016338207073509,0.0030329298579599385,0.0049935931650921,13409,matched structural pairs
Front Spar Chord %,continuous,0.18,0.35,0.1800092588365077,0.1902031254209578,0.2266087933070957,0.2683116321824491,0.3094111384823918,0.3419268770422786,0.3499778221733868,5675,matched structural pairs
Rear Spar Chord %,continuous,0.55,0.75,0.5500026293098927,0.5597637318074704,0.5985307654365898,0.6474725032225251,0.698362772911787,0.7392533833160997,0.7499627461656928,5675,matched structural pairs
Spar Thickness,continuous,0.00098,0.008,0.0009760792098939,0.0012285037623136,0.0015379959144862,0.001801230046642,0.0030510292820399,0.005246716858632779,0.0079967236347496,13301,matched structural pairs
# of Ribs,integer,3.0,14.0,3.0,5.0,6.0,7.0,12.0,14.0,14.0,12,matched structural pairs
Rib Thickness,continuous,0.0015,0.015,0.0015,0.0015,0.0015,0.0016616193229565,0.0028548073065467,0.005677155404584458,0.0149948105541989,8356,matched structural pairs
Wingbox Cutout,continuous,0.01,0.05,0.01,0.01,0.0106315458575263,0.0131160417525097,0.0222811029823496,0.04008234386593097,0.0499507723748684,11092,matched structural pairs
# of Fuselage Ribs,odd_integer,3.0,11.0,3.0,3.0,3.0,3.0,7.0,11.0,11.0,5,matched structural pairs
# of Fuselage Spars,integer,3.0,12.0,3.0,3.0,3.0,3.0,6.0,10.0,12.0,10,matched structural pairs
Fuselage Struct Thickness,continuous,0.002,0.025,0.0020001631060149,0.00215122049637132,0.0026401659292168,0.0032645721738226,0.005602772160666,0.010859666447061992,0.0249890659041702,13581,matched structural pairs
Fuselage Struct Width,continuous,0.001,0.015,0.0010376665256917,0.0013012498906998999,0.0016226001554634,0.0020088482442777,0.0034078805803321,0.006540131705311799,0.0149888255093246,13581,matched structural pairs
