variable,kind,eligible_pair_count,supported,small_step,moderate_step,large_step,small_step_fraction_of_range,moderate_step_fraction_of_range,large_step_fraction_of_range,mass_kg_increase_median,mass_kg_increase_p10,mass_kg_increase_p90,payload_m3_increase_median,payload_m3_increase_p10,payload_m3_increase_p90,payload_m3_decrease_rate,fuel_m3_increase_median,fuel_m3_increase_p10,fuel_m3_increase_p90,fuel_m3_decrease_rate,stress_mpa_increase_median,stress_mpa_increase_p10,stress_mpa_increase_p90,stress_feasibility_flip_rate,evidence_note
Skin Thickness,continuous,2196,True,7.499999999999998e-05,9.638138918670005e-05,0.00014281116131457505,0.015957446808510634,0.02050667855036171,0.030385353471186177,8.130189825000002,3.463399749999997,17.910839405000004,-0.020875884599999922,-0.06321103500000003,0.0,0.7795992714025501,-0.0026498666999999615,-0.005586148299999968,-0.0011532136399999959,1.0,-35.42675028888024,-660.730259364615,321.66675865025894,0.1598360655737705,supported observed comparison
Front Spar Chord %,continuous,0,False,,,,,,,,,,,,,,,,,,,,,,insufficient observed isolation (< 50 pairs)
Rear Spar Chord %,continuous,0,False,,,,,,,,,,,,,,,,,,,,,,insufficient observed isolation (< 50 pairs)
Spar Thickness,continuous,2196,True,0.00016463731413825,0.00021083641730950005,0.00025679364214885005,0.023452608851602563,0.03003367767941596,0.036580290904394595,8.130189825000002,3.463399749999997,17.910839405000004,-0.020875884599999922,-0.06321103500000003,0.0,0.7795992714025501,-0.0026498666999999615,-0.005586148299999968,-0.0011532136399999959,1.0,-35.42675028888024,-660.730259364615,321.66675865025894,0.1598360655737705,supported observed comparison
# of Ribs,integer,1589,True,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.040814489999995,3.890669423999998,19.195681596,-0.02267563760000002,-0.06955437939999998,0.0,0.7948395217117684,-0.003129343900000081,-0.00631761836000001,-0.001443481197999999,1.0,-49.04981040790767,-801.249830345641,321.112566918944,0.17306482064191314,supported observed comparison
Rib Thickness,continuous,1123,True,0.00010701296321344994,0.00018114199966649987,0.00024612922198134996,0.007926886163959255,0.013417925901222212,0.018231794220840737,8.66266607,3.5844375820000005,19.183646595999996,-0.021490530800000074,-0.06612053491999999,0.0,0.7960819234194123,-0.0029069879999999992,-0.005871000100000056,-0.0012603898340000058,1.0,-41.04482737622493,-635.6879087537958,276.04017900763034,0.1745325022261799,supported observed comparison
Wingbox Cutout,continuous,1713,True,0.0009999999999999992,0.0014113734262064005,0.0020051958598195987,0.024999999999999977,0.03528433565516001,0.05012989649548997,8.440003719999993,3.6272770759999986,18.522688976000005,-0.027287302200000085,-0.06879241287999993,-0.007497423719999998,0.9994162288382954,-0.0027013854999999865,-0.005681476459999967,-0.0011517548760000057,1.0,-38.358473767123314,-659.6802898421255,301.46893602052654,0.1640396964389959,supported observed comparison
# of Fuselage Ribs,odd_integer,563,True,2.0,2.0,2.0,0.25,0.25,0.25,12.299702269999997,6.147158074,24.740752320000006,-0.02511945440000002,-0.07251414517999999,0.0,0.8028419182948491,-0.0029172671000000094,-0.005941052920000023,-0.00122764605999999,1.0,-59.52927109719326,-792.6636179034401,248.05046349761366,0.17406749555950266,supported observed comparison
# of Fuselage Spars,integer,604,True,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,11.483054485000004,4.214426676999998,27.369178372000018,-0.026471463349999974,-0.07161520281999997,0.0,0.8360927152317881,-0.0031601790999999935,-0.006651258180000013,-0.0013800415259999776,1.0,-27.910662080324947,-638.2823384951514,336.0362182319671,0.16390728476821192,supported observed comparison
Fuselage Struct Thickness,continuous,2196,True,0.0002427042683121499,0.0003138840422034,0.00046361195947974994,0.010552359491832605,0.013647132269713045,0.02015704171651087,8.130189825000002,3.463399749999997,17.910839405000004,-0.020875884599999922,-0.06321103500000003,0.0,0.7795992714025501,-0.0026498666999999615,-0.005586148299999968,-0.0011532136399999959,1.0,-35.42675028888024,-660.730259364615,321.66675865025894,0.1598360655737705,supported observed comparison
Fuselage Struct Width,continuous,2196,True,0.00014999999999999996,0.00020173646542245003,0.000288184842816475,0.010714285714285713,0.014409747530175003,0.020584631629748218,8.130189825000002,3.463399749999997,17.910839405000004,-0.020875884599999922,-0.06321103500000003,0.0,0.7795992714025501,-0.0026498666999999615,-0.005586148299999968,-0.0011532136399999959,1.0,-35.42675028888024,-660.730259364615,321.66675865025894,0.1598360655737705,supported observed comparison
